date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2023-04-25,1706.0,1735.98,1730.38,1702.0,20582.51,25.38,1.49,1732.346,1730.325,1760.843,18763.44,24447.76,22617.26,0.16
2023-04-24,1721.0,1722.0,1705.0,1701.0,20230.91,-20.47,-1.19,1737.87,1731.837,1762.714,18309.72,25310.42,22352.91,0.16
2023-04-21,1746.0,1748.08,1725.47,1721.28,18517.87,-16.41,-0.94,1747.47,1738.507,1766.395,20356.98,26229.16,21979.87,0.15
2023-04-20,1760.11,1765.0,1741.88,1729.0,19885.37,-17.12,-0.97,1745.06,1745.059,1768.864,20899.73,25729.84,21921.76,0.16
2023-04-19,1762.0,1765.5,1759.0,1750.0,14600.56,1.0,0.06,1741.284,1750.567,1770.438,22831.2,25228.72,21694.0,0.12
2023-04-18,1753.0,1769.0,1758.0,1746.02,18313.89,5.0,0.28,1728.304,1756.126,1771.238,30132.07,25775.29,22521.06,0.15
2023-04-17,1740.0,1753.0,1753.0,1728.0,30467.23,39.58,2.31,1725.804,1760.533,1769.818,32311.13,26085.65,22629.92,0.24
2023-04-14,1726.0,1733.0,1713.42,1704.8,21231.62,-9.58,-0.56,1729.544,1767.233,1769.268,32101.33,25783.56,22457.7,0.17
2023-04-13,1690.0,1723.59,1723.0,1684.01,29542.68,28.9,1.71,1745.058,1775.891,1771.196,30559.94,25586.09,22278.43,0.24
2023-04-12,1747.26,1750.0,1694.1,1692.82,51104.92,-51.4,-2.94,1759.85,1782.591,1772.592,27626.25,24171.13,21761.92,0.41
2023-04-11,1793.0,1793.0,1745.5,1744.0,29209.19,-26.2,-1.48,1783.948,1791.361,1776.187,21418.51,20786.77,20391.92,0.23
2023-04-10,1790.88,1790.88,1771.7,1744.0,29418.22,-19.29,-1.08,1795.262,1793.59,1777.012,19860.16,19395.4,19959.49,0.23
2023-04-07,1795.0,1806.01,1790.99,1788.34,13524.68,-5.97,-0.33,1804.922,1794.282,1775.927,19465.78,17730.58,19546.62,0.11
2023-04-06,1805.0,1815.9,1796.96,1788.22,14874.22,-17.63,-0.97,1806.724,1792.669,1774.879,20612.25,18113.68,20250.96,0.12
2023-04-04,1812.0,1815.17,1814.59,1787.0,20066.26,12.52,0.69,1805.332,1790.308,1773.552,20716.0,18159.28,20645.43,0.16
2023-04-03,1825.0,1827.77,1802.07,1800.08,21417.43,-17.93,-0.98,1798.774,1786.349,1772.237,20155.02,19266.84,20781.39,0.17
2023-03-31,1825.0,1848.0,1820.0,1819.0,27446.33,20.0,1.11,1791.918,1779.102,1772.491,18930.65,19174.19,20742.81,0.22
2023-03-30,1793.0,1805.0,1800.0,1779.0,19257.01,10.0,0.56,1783.642,1771.302,1772.393,15995.37,19131.84,20180.39,0.15
2023-03-29,1799.0,1800.0,1790.0,1785.07,15392.99,8.2,0.46,1778.614,1766.501,1773.793,15615.1,18970.77,19874.75,0.12
2023-03-28,1770.0,1790.0,1781.8,1765.02,17261.35,14.01,0.79,1775.284,1762.593,1776.219,15602.56,19352.72,20328.01,0.14
2023-03-27,1778.6,1778.6,1767.79,1756.0,15295.55,-10.83,-0.61,1773.924,1761.013,1777.816,18378.65,19997.08,20662.53,0.12
2023-03-24,1769.08,1783.6,1778.62,1766.0,12769.96,3.76,0.21,1766.286,1760.434,1779.947,19417.73,20523.57,21001.0,0.1
2023-03-23,1766.0,1791.11,1774.86,1765.01,17355.66,1.51,0.09,1758.962,1757.572,1780.416,22268.32,21362.65,21594.23,0.14
2023-03-22,1780.0,1793.0,1773.35,1765.55,15330.26,-1.65,-0.09,1754.388,1757.088,1782.573,22326.43,22388.24,21820.5,0.12
2023-03-21,1735.0,1785.85,1775.0,1723.97,31141.82,45.4,2.62,1749.902,1756.795,1785.706,23102.89,23131.58,22147.44,0.25
2023-03-20,1751.0,1755.0,1729.6,1728.0,20490.93,-12.4,-0.71,1748.102,1758.125,1790.306,21615.51,22295.94,21527.88,0.16
2023-03-17,1770.0,1775.89,1742.0,1736.0,27022.91,-9.99,-0.57,1754.582,1765.879,1797.576,21629.41,22311.43,21986.77,0.22
2023-03-16,1740.0,1770.0,1751.99,1739.01,17646.24,1.07,0.06,1756.182,1773.483,1801.515,20456.99,21228.95,21957.76,0.14
2023-03-15,1778.37,1784.88,1750.92,1750.12,19212.53,-15.08,-0.85,1759.788,1781.084,1807.006,22450.04,20778.74,22737.75,0.15
2023-03-14,1763.78,1779.88,1766.0,1738.5,23704.92,4.0,0.23,1763.688,1789.845,1811.51,23160.27,21303.3,22685.97,0.19
2023-03-13,1751.0,1775.0,1762.0,1749.0,20560.43,12.0,0.69,1768.148,1794.619,1815.4,22976.37,21327.99,22479.01,0.16
2023-03-10,1751.57,1781.0,1750.0,1750.0,21160.82,-20.02,-1.13,1777.176,1799.46,1820.117,22993.45,21478.43,23358.32,0.17
2023-03-09,1768.0,1785.0,1770.02,1740.0,27611.5,-0.4,-0.02,1790.784,1803.26,1823.117,22000.9,21825.81,23199.51,0.22
2023-03-08,1780.02,1785.94,1770.42,1761.12,22763.7,-17.88,-1.0,1802.38,1808.058,1825.516,19107.44,21252.76,23306.61,0.18
2023-03-07,1805.98,1816.6,1788.3,1788.0,22785.39,-18.84,-1.04,1816.002,1814.616,1826.195,19446.32,21163.3,23002.22,0.18
2023-03-06,1818.18,1818.5,1807.14,1796.77,20645.86,-10.9,-0.6,1821.09,1822.486,1826.63,19679.6,20759.82,23079.03,0.16
2023-03-03,1839.77,1841.61,1818.04,1802.48,16198.06,-9.96,-0.55,1821.744,1829.272,1826.023,19963.41,21662.1,24179.79,0.13
2023-03-02,1829.0,1838.99,1828.0,1821.1,13144.19,-10.53,-0.57,1815.736,1829.546,1826.021,21650.72,22686.58,25117.13,0.1
2023-03-01,1813.0,1848.0,1838.53,1803.23,24458.1,24.79,1.37,1813.736,1832.928,1826.427,23398.08,24696.75,25947.86,0.19
2023-02-28,1819.0,1822.01,1813.74,1783.3,23951.81,3.33,0.18,1813.23,1833.175,1826.749,22880.29,24068.63,26423.65,0.19
2023-02-27,1778.5,1815.0,1810.41,1775.02,22064.89,22.41,1.25,1823.882,1836.18,1828.35,21840.03,23630.03,26875.6,0.18
2023-02-24,1810.11,1810.19,1788.0,1782.18,24634.61,-30.0,-1.65,1836.8,1840.774,1832.229,23360.79,25238.21,27568.48,0.2
2023-02-23,1840.0,1848.8,1818.0,1805.25,21880.97,-18.0,-0.98,1843.356,1842.974,1835.83,23722.43,24573.2,27617.19,0.17
2023-02-22,1855.01,1863.9,1836.0,1831.8,21869.16,-31.0,-1.66,1852.12,1842.974,1838.94,25995.43,25360.47,27695.08,0.17
2023-02-21,1874.0,1874.0,1867.0,1851.0,18750.52,-8.0,-0.43,1853.12,1837.774,1841.79,25256.98,24841.13,27654.77,0.15
2023-02-20,1821.0,1878.8,1875.0,1817.2,29668.69,54.22,2.98,1848.478,1830.774,1843.84,25420.03,25398.25,27782.21,0.24
2023-02-17,1850.16,1873.0,1820.78,1820.05,26442.83,-41.04,-2.2,1844.748,1822.774,1845.735,27115.63,26697.48,28141.18,0.21
2023-02-16,1841.34,1887.0,1861.82,1828.0,33245.95,20.82,1.13,1842.592,1822.496,1849.046,25423.97,27547.68,28416.03,0.26
2023-02-15,1843.78,1855.3,1841.0,1835.81,18176.91,-2.79,-0.15,1833.828,1819.925,1847.655,24725.51,27198.97,27613.39,0.14
2023-02-14,1856.46,1857.4,1843.79,1835.0,19565.76,-12.56,-0.68,1822.428,1820.322,1847.853,24425.28,28778.67,27840.56,0.16
2023-02-13,1810.0,1874.5,1856.35,1810.0,38146.7,46.35,2.56,1813.07,1820.519,1848.386,25376.47,30121.16,27998.86,0.3
2023-02-10,1810.1,1818.49,1810.0,1801.05,17984.51,-8.0,-0.44,1800.8,1823.684,1847.628,26279.32,29898.75,27640.38,0.14
2023-02-09,1778.0,1829.75,1818.0,1775.01,29753.66,34.0,1.91,1802.4,1828.685,1847.317,29671.4,30661.17,27986.34,0.24
2023-02-08,1800.01,1805.97,1784.0,1775.0,16675.77,-13.0,-0.72,1806.022,1834.906,1846.467,29672.44,30029.7,28895.8,0.13
2023-02-07,1808.08,1808.8,1797.0,1787.73,24321.71,2.0,0.11,1818.216,1845.806,1843.517,33132.06,30468.41,29082.8,0.19
2023-02-06,1780.0,1795.0,1795.0,1760.0,42660.95,-23.0,-1.26,1827.968,1856.906,1840.168,34865.86,30166.16,29168.41,0.34
2023-02-03,1820.0,1826.0,1818.0,1795.68,34944.9,-18.11,-0.99,1846.568,1868.696,1836.768,33518.18,29584.89,28302.02,0.28
2023-02-02,1848.38,1859.0,1836.11,1826.0,29758.86,-8.86,-0.48,1854.97,1875.596,1831.818,31650.95,29284.37,27675.66,0.24
2023-02-01,1854.98,1859.0,1844.97,1811.4,33973.89,-0.79,-0.04,1863.79,1875.385,1826.662,30386.95,28027.8,27259.61,0.27
2023-01-31,1896.5,1899.95,1845.76,1833.07,32990.68,-42.24,-2.24,1873.396,1875.383,1821.064,27804.76,26902.44,26456.17,0.26
2023-01-30,1909.0,1909.0,1888.0,1880.0,35922.55,27.99,1.5,1885.844,1876.252,1815.879,25466.47,25876.55,25875.83,0.29
2023-01-20,1889.19,1898.25,1860.01,1858.0,25608.75,-20.2,-1.07,1890.824,1871.572,1810.029,25651.61,25382.02,24945.66,0.2
2023-01-19,1892.5,1892.52,1880.21,1866.0,23438.89,-12.79,-0.68,1896.222,1865.948,1805.428,26917.79,25311.52,24823.99,0.19
2023-01-18,1914.0,1925.3,1893.0,1890.0,21062.93,-15.0,-0.79,1886.98,1858.027,1798.368,25668.65,27761.91,24792.85,0.17
2023-01-17,1913.16,1923.0,1908.0,1895.0,21299.23,-4.9,-0.26,1877.37,1841.228,1789.468,26000.12,27697.19,26049.62,0.17
2023-01-16,1886.0,1935.0,1912.9,1881.0,36848.26,25.9,1.37,1866.66,1823.429,1782.718,26286.62,28170.65,26234.02,0.29
2023-01-13,1844.18,1888.0,1887.0,1840.0,31939.65,53.0,2.89,1852.32,1804.839,1776.416,25112.42,27019.14,26056.74,0.25
2023-01-12,1848.0,1856.0,1834.0,1833.0,17193.17,-10.95,-0.59,1835.674,1788.039,1771.416,23705.24,26066.95,25991.48,0.14
2023-01-11,1856.0,1860.0,1844.95,1836.84,22720.31,-9.5,-0.51,1829.074,1777.939,1768.259,29855.17,26491.42,26586.74,0.18
2023-01-10,1839.06,1864.5,1854.45,1830.5,22731.73,13.25,0.72,1805.086,1766.744,1763.512,29394.26,26009.9,26520.0,0.18
2023-01-09,1835.0,1849.98,1841.2,1807.82,30977.23,37.43,2.08,1780.198,1755.505,1757.74,30054.68,25875.11,27121.17,0.25
2023-01-06,1806.12,1811.9,1803.77,1787.0,24903.75,2.77,0.15,1757.358,1748.485,1752.18,28925.85,24509.3,27533.07,0.2
2023-01-05,1737.0,1801.0,1801.0,1733.0,47942.85,75.99,4.41,1740.404,1744.908,1746.343,28428.66,24336.46,27274.36,0.38
2023-01-04,1730.0,1738.7,1725.01,1716.0,20415.75,-5.0,-0.29,1726.804,1738.708,1740.493,23127.67,21823.79,26653.53,0.16
2023-01-03,1731.2,1738.43,1730.01,1706.01,26033.8,3.01,0.17,1728.402,1737.707,1738.642,22625.53,24402.06,27840.12,0.21
2022-12-30,1736.0,1752.99,1727.0,1727.0,25333.12,8.0,0.47,1730.812,1742.006,1735.387,21695.53,24297.39,28344.8,0.2
2022-12-29,1717.0,1726.99,1719.0,1701.05,22417.8,-14.0,-0.81,1739.612,1747.993,1730.731,20092.75,25094.34,28272.34,0.18
2022-12-28,1745.88,1747.0,1733.0,1708.01,21437.9,0.0,0.0,1749.412,1754.792,1726.321,20244.26,25916.0,29719.33,0.17
2022-12-27,1738.0,1747.15,1733.0,1725.5,17905.05,12.85,0.75,1750.612,1758.579,1719.621,20519.91,26682.05,30222.3,0.14
2022-12-26,1771.0,1771.0,1742.06,1735.02,21383.8,-28.94,-1.63,1747.012,1760.279,1712.921,26178.58,27030.1,32998.06,0.17
2022-12-23,1752.4,1782.0,1771.0,1745.0,17319.21,3.0,0.17,1753.2,1759.975,1701.312,26899.24,28367.23,34315.03,0.14
2022-12-22,1756.7,1783.0,1768.0,1745.0,23175.34,29.0,1.67,1756.374,1755.875,1688.862,30095.93,30556.84,34380.12,0.18
2022-12-21,1724.0,1739.0,1739.0,1717.65,22816.14,24.0,1.4,1760.172,1747.777,1676.462,31587.75,30212.26,34605.72,0.18
2022-12-20,1765.33,1765.33,1715.0,1682.45,46198.4,-58.0,-3.27,1766.546,1742.277,1666.962,32844.2,31483.27,34573.79,0.37
2022-12-19,1798.8,1798.8,1773.0,1760.17,24987.1,-13.87,-0.78,1773.546,1739.577,1658.209,27881.61,31278.18,33758.9,0.2
2022-12-16,1773.25,1791.0,1786.87,1743.0,33302.66,-0.12,-0.01,1766.75,1728.767,1645.558,29835.23,32392.22,34464.34,0.27
2022-12-15,1805.0,1816.0,1786.99,1780.0,30634.44,16.12,0.91,1755.376,1713.468,1634.571,31017.75,31450.34,33979.65,0.24
2022-12-14,1743.0,1780.8,1770.87,1743.0,29098.4,20.87,1.19,1735.382,1697.849,1623.572,28836.77,33522.66,33976.92,0.23
2022-12-13,1737.0,1760.69,1750.0,1730.0,21385.46,10.98,0.63,1718.008,1680.662,1614.291,30122.34,33762.55,33864.39,0.17
2022-12-12,1715.86,1766.0,1739.02,1715.0,34755.17,9.02,0.52,1705.608,1665.562,1606.191,34674.75,38966.02,35610.99,0.28
2022-12-09,1692.0,1730.0,1730.0,1682.0,39215.26,42.98,2.55,1690.784,1642.648,1595.89,34949.2,40262.82,36741.74,0.31
2022-12-08,1682.0,1695.0,1687.02,1665.0,19729.56,3.02,0.18,1671.56,1621.849,1585.797,31882.93,38203.4,38478.34,0.16
2022-12-07,1677.81,1720.0,1684.0,1670.03,35526.26,-4.0,-0.24,1660.316,1605.146,1575.196,38208.56,38999.18,39377.84,0.28
2022-12-06,1655.0,1726.9,1688.0,1652.0,44147.48,23.1,1.39,1643.316,1591.646,1563.991,37402.76,37664.3,39406.04,0.35
2022-12-05,1668.0,1679.0,1664.9,1649.0,36127.46,31.02,1.9,1625.516,1576.841,1553.835,43257.29,36239.62,39164.91,0.29
2022-12-02,1635.0,1652.99,1633.88,1621.2,23883.9,3.08,0.19,1594.512,1562.349,1545.946,45576.44,36536.47,39493.45,0.19
2022-12-01,1660.0,1680.0,1630.8,1630.79,51357.68,31.8,1.99,1572.138,1555.674,1540.08,44523.87,36508.95,42299.66,0.41
2022-11-30,1587.12,1604.0,1599.0,1585.0,31497.3,0.0,0.0,1549.976,1549.294,1530.515,39789.81,34431.17,41989.76,0.25
2022-11-29,1569.56,1600.0,1599.0,1551.0,73420.13,89.12,5.9,1539.976,1547.919,1524.163,37925.84,33966.22,44403.75,0.58
2022-11-28,1484.78,1515.0,1509.88,1451.0,47723.21,-12.13,-0.8,1528.166,1546.819,1517.314,29221.94,32255.97,46671.07,0.38
2022-11-25,1520.51,1532.0,1522.01,1510.0,18621.04,2.02,0.13,1530.186,1549.131,1509.32,27496.5,33220.66,47877.24,0.15
2022-11-24,1559.0,1568.88,1519.99,1513.98,27687.38,-29.01,-1.87,1539.21,1549.745,1501.219,28494.03,38753.27,51603.32,0.22
2022-11-23,1528.0,1557.0,1549.0,1521.04,22177.46,9.05,0.59,1548.612,1545.246,1495.27,29072.53,39756.5,55574.25,0.18
2022-11-22,1517.44,1559.74,1539.95,1516.11,29900.62,19.97,1.31,1555.862,1536.336,1491.024,30006.59,41147.77,58554.42,0.24
2022-11-21,1541.35,1541.35,1519.98,1498.53,39096.0,-47.15,-3.01,1565.472,1530.829,1488.014,35289.99,42090.2,61127.47,0.31
2022-11-18,1576.0,1584.0,1567.13,1556.0,23608.71,0.13,0.01,1568.076,1529.542,1487.079,38944.82,42450.43,65777.57,0.19
2022-11-17,1590.5,1596.3,1567.0,1552.88,30579.88,-18.25,-1.15,1560.28,1524.486,1489.922,49012.51,48090.36,66542.5,0.24
2022-11-16,1581.0,1598.0,1585.25,1568.0,26847.76,-2.75,-0.17,1541.88,1511.736,1493.747,50440.47,49548.34,67152.41,0.21
2022-11-15,1532.0,1598.97,1588.0,1521.0,56317.6,55.0,3.59,1516.81,1500.407,1496.885,52288.95,54841.28,68816.07,0.45
2022-11-14,1543.5,1563.53,1533.0,1528.0,57370.15,4.85,0.32,1496.186,1487.808,1502.776,48890.41,61086.17,67404.33,0.46
2022-11-11,1528.0,1544.45,1528.15,1494.98,73947.15,53.15,3.6,1491.008,1469.508,1512.051,45956.05,62533.82,66213.3,0.59
2022-11-10,1444.0,1485.0,1475.0,1435.15,37719.67,15.1,1.03,1488.692,1452.693,1522.524,47168.21,64453.38,64841.92,0.3
2022-11-09,1483.95,1488.88,1459.9,1450.0,36090.16,-24.98,-1.68,1481.592,1445.293,1533.774,48656.21,71392.0,66154.4,0.29
